********************************************************************************
LOGGING TIME: 20170905_204301
CLIENT IP: 10.145.230.188
USERNAME: sandeep2103
OS: Windows 10
**********************************Emotional database********************************************************************************
MM, 822, 659, 1503238554473
MM, 452, 403, 345
MM, 448, 390, 22
MM, 446, 382, 16
MM, 444, 377, 9
MM, 187, 77, 15
MM, 183, 70, 17
MM, 169, 38, 7
MM, 167, 26, 16
MM, 167, 24, 8
MM, 167, 18, 17
MM, 166, 15, 7
MM, 165, 10, 16
MM, 160, 0, 16
MM, 406, 279, 8
MM, 392, 261, 16
MM, 384, 253, 16
MM, 333, 173, 128
MM, 329, 158, 10
MM, 327, 153, 6
MM, 322, 140, 16
MM, 321, 134, 9
MM, 319, 130, 8
MM, 319, 127, 7
MM, 313, 114, 528
MM, 311, 126, 16
MM, 310, 146, 16
MM, 310, 159, 8
MM, 321, 252, 65
MM, 331, 283, 7
MM, 86, 14, 17
MM, 90, 18, 8
MM, 97, 27, 16
MM, 98, 30, 7
MM, 99, 34, 17
MM, 100, 36, 15
MM, 100, 37, 16
MM, 101, 37, 32
MC, 1, 137
MM, 101, 39, 21656
MM, 101, 42, 7
MM, 99, 44, 8
MM, 95, 60, 17
MM, 94, 70, 7
MM, 344, 382, 17
MM, 346, 390, 16
MM, 347, 391, 7
MM, 347, 392, 56
MM, 347, 393, 16
MM, 137, 52, 66
MM, 137, 53, 9
MC, 1, 213
MC, 1, 16
MM, 136, 53, 473
MM, 135, 53, 7
MM, 134, 52, 17
MM, 133, 52, 9
MC, 1, 127
MM, 132, 52, 31
MM, 133, 52, 49
MM, 133, 53, 23
MM, 133, 54, 25
MM, 28, 10, 127
MM, 408, 540, 26
MM, 1, 22, 31
MM, 12, 0, 26
MM, 453, 582, 47
MM, 7, 23, 31
MM, 11, 23, 16
MM, 16, 24, 17
MM, 21, 25, 14
MM, 24, 26, 9
MM, 27, 26, 9
MM, 490, 586, 14
MM, 11, 23, 25
MM, 16, 21, 15
MM, 19, 20, 24
MM, 20, 19, 9
MM, 21, 19, 39
MM, 21, 18, 8
MM, 21, 17, 8
MC, 1, 168
MM, 22, 19, 60
MM, 27, 25, 13
MM, 527, 590, 17
MM, 1, 5, 23
MM, 6, 9, 15
MM, 8, 10, 16
MM, 11, 11, 16
MM, 13, 11, 19
MM, 15, 11, 17
MM, 16, 10, 13
MC, 1, 137
MM, 11, 9, 47
MM, 31, 9, 19
MM, 3, 4, 21
MM, 22, 29, 26
MM, 455, 572, 34
MM, 452, 570, 12
MM, 452, 569, 31
MM, 452, 568, 24
MM, 452, 567, 8
MP, 1, 96
MR, 1, 40
MM, 3, 11, 41
MM, 4, 11, 127
MM, 5, 11, 8
MM, 10, 13, 16
MM, 12, 14, 9
MM, 18, 15, 17
MM, 21, 15, 6
MM, 25, 16, 16
MM, 26, 16, 11
MC, 1, 181
MM, 26, 17, 34
MM, 26, 18, 30
MM, 28, 19, 9
MM, 32, 22, 15
MM, 34, 24, 8
MM, 452, 586, 8
MM, 458, 592, 26
MM, 2, 4, 15
MM, 12, 22, 25
MM, 477, 631, 19
MM, 86, 10, 21
MM, 87, 15, 14
MM, 89, 17, 25
MM, 89, 18, 47
MM, 90, 18, 17
MM, 90, 19, 7
MM, 90, 20, 16
MM, 90, 22, 24
MM, 91, 25, 8
MM, 93, 26, 17
MM, 95, 25, 207
MM, 96, 23, 8
MM, 98, 20, 17
MM, 102, 16, 7
MM, 104, 15, 8
MM, 104, 14, 145
MM, 105, 12, 15
MM, 107, 11, 8
MM, 110, 6, 16
MM, 112, 4, 8
MM, 518, 668, 17
MM, 1, 24, 15
MM, 569, 633, 35
MM, 9, 21, 30
MM, 13, 14, 79
MM, 13, 13, 18
MM, 15, 10, 22
MM, 17, 9, 10
MM, 609, 595, 86
MM, 612, 591, 40
MM, 3, 30, 16
MM, 3, 29, 8
MM, 3, 28, 41
MM, 4, 28, 7
MM, 5, 27, 16
MM, 6, 26, 9
MM, 6, 25, 15
MM, 7, 25, 8
MM, 7, 24, 40
MM, 6, 24, 8
MM, 1, 24, 11
MM, 23, 25, 14
MM, 25, 29, 25
MM, 16, 26, 39
MM, 35, 20, 39
MM, 35, 18, 43
MC, 1, 429
MM, 409, 578, 80
MM, 0, 19, 20
MM, 27, 23, 38
MM, 26, 20, 41
MM, 22, 16, 31
MM, 1, 13, 39
MM, 14, 12, 39
MM, 23, 11, 17
MM, 30, 11, 16
MM, 0, 11, 18
MM, 13, 11, 39
MM, 14, 11, 7
MM, 15, 11, 41
MC, 1, 167
MM, 12, 11, 50
MM, 7, 11, 13
MM, 26, 15, 20
MM, 17, 26, 28
MM, 494, 592, 27
MM, 457, 592, 38
MM, 456, 592, 9
MM, 456, 591, 24
MM, 0, 30, 15
MM, 0, 29, 16
MM, 455, 587, 16
MM, 31, 24, 24
MM, 18, 22, 24
MM, 17, 22, 8
MM, 18, 22, 25
MM, 22, 21, 15
MM, 453, 576, 56
MM, 3, 14, 42
MM, 4, 13, 15
MM, 4, 12, 71
MC, 1, 80
MM, 9, 12, 49
MM, 490, 578, 25
MM, 560, 595, 30
MM, 18, 7, 15
MM, 7, 11, 16
MM, 656, 611, 34
MM, 6, 15, 14
MM, 12, 15, 36
MM, 12, 16, 77
MM, 13, 16, 7
MM, 14, 17, 8
MC, 1, 160
MM, 32, 15, 50
MM, 19, 16, 48
MM, 23, 16, 14
MM, 3, 16, 49
MM, 461, 612, 18
MM, 459, 612, 49
MM, 31, 14, 22
MM, 15, 14, 63
MC, 1, 151
MM, 16, 14, 66
MM, 18, 14, 6
MM, 27, 15, 16
MM, 34, 17, 8
MM, 13, 24, 16
MM, 502, 629, 32
MM, 31, 9, 34
MM, 18, 13, 23
MM, 21, 13, 51
MM, 14, 13, 14
MM, 2, 13, 22
MM, 25, 13, 16
MM, 0, 9, 33
MM, 7, 2, 23
MM, 10, 30, 57
MM, 25, 25, 36
MM, 17, 22, 38
MM, 10, 18, 23
MM, 9, 18, 47
MM, 8, 17, 16
MM, 3, 16, 8
MM, 34, 13, 24
MM, 32, 13, 8
MM, 374, 610, 137
MM, 6, 17, 15
MM, 22, 22, 35
MM, 24, 23, 13
MM, 25, 23, 16
MM, 26, 23, 16
MM, 28, 23, 24
MC, 1, 1355
MM, 28, 24, 141
MM, 28, 25, 7
MM, 29, 29, 16
MM, 412, 630, 16
MM, 15, 16, 16
MM, 47, 10, 26
MM, 473, 713, 34
MM, 481, 719, 29
MM, 482, 719, 56
MM, 482, 718, 7
MM, 482, 717, 17
MM, 482, 716, 15
MM, 482, 715, 8
MM, 482, 714, 24
MP, 1, 112
MR, 1, 56
MC, 1, 0
MM, 477, 707, 24
MM, 474, 704, 8
MM, 71, 29, 17
MM, 70, 28, 12
MM, 72, 28, 19
MM, 74, 28, 24
MC, 1, 202
MM, 75, 28, 64
MM, 75, 27, 40
MM, 75, 25, 15
MM, 75, 24, 8
MM, 75, 21, 16
MM, 78, 10, 16
MM, 81, 2, 16
MM, 486, 667, 16
MM, 1, 26, 25
MM, 5, 18, 23
MM, 8, 13, 16
MM, 10, 10, 16
MM, 31, 2, 16
MM, 0, 30, 16
MM, 0, 12, 36
MM, 614, 597, 29
MM, 623, 591, 32
MM, 13, 29, 9
MM, 14, 28, 86
MM, 15, 27, 8
MM, 17, 24, 16
MM, 20, 22, 8
MM, 22, 21, 8
MM, 28, 14, 17
MM, 646, 568, 14
MM, 1, 5, 17
MM, 5, 3, 24
MM, 7, 3, 27
MM, 8, 3, 14
MM, 10, 3, 16
MC, 1, 126
MM, 10, 6, 43
MM, 13, 20, 15
MM, 15, 27, 15
MM, 671, 596, 15
MM, 13, 0, 80
MM, 14, 6, 27
MM, 15, 12, 15
MM, 16, 19, 22
MM, 17, 20, 10
MC, 1, 135
MM, 33, 18, 64
MM, 10, 18, 49
MM, 26, 19, 14
MM, 23, 22, 34
MM, 21, 22, 42
MM, 3, 20, 20
MM, 3, 19, 240
MM, 3, 18, 8
MM, 5, 17, 24
MM, 6, 15, 9
MM, 6, 14, 16
MM, 6, 12, 79
MM, 6, 9, 16
MM, 5, 7, 8
MM, 4, 3, 8
MM, 423, 595, 16
MM, 423, 591, 16
MM, 8, 29, 8
MM, 8, 28, 16
MC, 1, 154
MM, 9, 28, 102
MM, 425, 591, 129
MM, 427, 596, 16
MM, 9, 4, 16
MM, 12, 9, 16
MM, 13, 12, 8
MM, 23, 20, 24
MM, 34, 27, 16
MM, 0, 30, 9
MM, 20, 1, 40
MM, 7, 1, 41
MM, 598, 629, 39
MM, 656, 628, 32
MM, 680, 628, 15
MM, 701, 628, 16
MM, 712, 628, 9
MM, 737, 628, 14
MM, 750, 628, 17
MM, 7, 9, 8
MM, 804, 609, 26
MM, 827, 588, 22
MM, 843, 574, 16
MM, 850, 566, 9
MM, 810, 562, 368
MM, 782, 569, 15
MM, 749, 573, 19
MM, 28, 14, 14
MM, 24, 17, 23
MM, 21, 20, 31
MM, 24, 27, 34
MM, 567, 589, 32
MM, 542, 592, 31
MM, 535, 592, 16
MM, 528, 593, 16
MM, 526, 594, 15
MM, 520, 596, 17
MM, 20, 0, 15
MM, 18, 1, 26
MM, 16, 1, 11
MM, 10, 2, 28
MM, 4, 3, 15
MM, 497, 601, 16
MM, 18, 5, 24
MM, 17, 5, 50
MM, 16, 5, 14
MM, 11, 5, 16
MM, 5, 5, 16
MM, 2, 5, 8
MM, 459, 603, 16
MM, 456, 604, 33
MM, 456, 605, 40
MM, 34, 8, 15
MM, 30, 9, 18
MM, 22, 10, 23
MM, 21, 11, 8
MC, 1, 151
MM, 20, 11, 34
MM, 434, 595, 30
MM, 18, 25, 26
MM, 18, 17, 23
MM, 18, 16, 25
MC, 1, 134
MM, 17, 16, 35
MM, 6, 21, 30
MM, 413, 587, 16
MM, 16, 4, 25
MM, 7, 11, 24
MM, 7, 12, 9
MC, 1, 175
MM, 18, 9, 48
MM, 31, 5, 23
MM, 33, 4, 16
MM, 34, 4, 40
MM, 0, 2, 23
MM, 451, 586, 33
MM, 13, 17, 32
MM, 22, 13, 32
MM, 25, 11, 26
MM, 26, 11, 14
MM, 27, 10, 7
MM, 489, 569, 24
MM, 11, 5, 26
MM, 18, 4, 32
MM, 19, 3, 14
MM, 20, 2, 16
MM, 21, 2, 8
MC, 1, 137
MM, 20, 2, 49
MM, 20, 3, 14
MM, 19, 10, 16
MM, 17, 15, 17
MM, 14, 18, 15
MM, 13, 21, 16
MM, 13, 22, 65
MM, 12, 24, 15
MM, 505, 593, 16
MM, 6, 0, 16
MM, 9, 27, 24
MM, 22, 11, 26
MM, 23, 27, 41
MM, 22, 28, 15
MM, 22, 30, 22
MM, 509, 666, 16
MM, 509, 668, 17
MM, 508, 669, 25
MM, 508, 670, 22
MM, 108, 0, 9
MM, 108, 2, 34
MM, 107, 4, 14
MM, 106, 5, 17
MC, 1, 175
MM, 105, 4, 25
MM, 511, 668, 60
MM, 0, 27, 28
MM, 564, 645, 32
MM, 16, 27, 33
MM, 4, 5, 32
MM, 629, 591, 54
MM, 20, 30, 33
MM, 27, 27, 31
MM, 642, 585, 16
MM, 0, 23, 33
MM, 4, 21, 24
MM, 5, 21, 39
MM, 6, 21, 9
MM, 15, 21, 23
MM, 32, 21, 16
MM, 7, 20, 17
MM, 16, 18, 31
MC, 1, 168
MM, 13, 17, 41
MM, 685, 579, 23
MM, 20, 22, 32
MM, 7, 23, 24
MM, 645, 583, 26
MM, 25, 22, 22
MM, 18, 21, 25
MM, 13, 20, 14
MM, 1, 18, 24
MM, 608, 577, 16
MP, 1, 89
MR, 1, 47
MC, 1, 1
MM, 609, 577, 167
MM, 610, 577, 16
MM, 0, 17, 11
MM, 1, 16, 14
MM, 2, 16, 16
MC, 1, 135
MM, 0, 14, 51
MM, 605, 573, 21
MM, 13, 16, 34
MM, 18, 25, 33
MM, 14, 30, 39
MM, 8, 27, 39
MM, 8, 24, 17
MM, 8, 20, 15
MM, 8, 19, 16
MM, 8, 16, 17
MM, 8, 15, 22
MC, 1, 177
MM, 5, 18, 51
MM, 3, 24, 21
MM, 2, 26, 16
MM, 30, 14, 23
MM, 27, 18, 25
MM, 26, 19, 23
MM, 25, 19, 56
MM, 24, 20, 8
MM, 24, 21, 16
MM, 24, 24, 16
MM, 25, 28, 25
MM, 409, 630, 16
MM, 6, 3, 24
MM, 14, 4, 28
MM, 19, 4, 20
MM, 20, 4, 8
MC, 1, 200
MM, 19, 0, 33
MM, 6, 20, 31
MM, 14, 15, 44
MM, 14, 9, 37
MC, 1, 167
MM, 14, 10, 56
MM, 15, 15, 16
MM, 16, 18, 8
MM, 437, 592, 16
MM, 33, 29, 23
MM, 16, 28, 25
MM, 67, 2, 36
MM, 69, 2, 29
MM, 70, 3, 34
MM, 71, 4, 21
MM, 71, 5, 24
MM, 72, 7, 23
MM, 75, 12, 25
MM, 76, 15, 7
MM, 77, 25, 25
MM, 80, 28, 16
MC, 1, 263
MM, 82, 25, 49
MM, 89, 21, 15
MM, 100, 14, 17
MM, 114, 4, 15
MM, 535, 665, 16
MM, 13, 26, 9
MM, 586, 631, 41
MM, 615, 608, 32
MM, 5, 3, 15
MM, 625, 596, 24
MM, 626, 595, 16
MM, 628, 594, 31
MM, 630, 594, 9
MM, 634, 593, 16
MM, 644, 590, 24
MM, 0, 29, 16
MM, 3, 28, 24
MM, 4, 28, 27
MM, 9, 29, 14
MM, 12, 29, 16
MM, 14, 29, 15
MM, 16, 29, 17
MM, 18, 28, 16
MM, 19, 28, 15
MM, 19, 27, 8
MM, 19, 26, 40
MM, 19, 25, 23
MC, 1, 112
MM, 16, 23, 32
MM, 13, 23, 26
MM, 1, 26, 23
MM, 643, 589, 9
MM, 19, 10, 34
MM, 520, 630, 37
MM, 29, 6, 25
MM, 25, 7, 22
MM, 25, 6, 41
MM, 25, 4, 24
MM, 26, 2, 15
MM, 28, 1, 9
MM, 480, 633, 16
MM, 484, 628, 25
MM, 26, 27, 23
MM, 26, 26, 17
MM, 28, 25, 22
MC, 1, 161
MM, 29, 25, 58
MM, 28, 25, 46
MM, 23, 25, 17
MM, 17, 25, 14
MM, 14, 25, 8
MM, 13, 26, 16
MM, 12, 28, 8
MM, 24, 2, 26
MM, 486, 669, 39
MM, 90, 8, 15
MM, 95, 14, 24
MC, 1, 232
MM, 96, 14, 81
MM, 97, 14, 8
MM, 97, 13, 16
MM, 98, 12, 15
MM, 98, 11, 16
MM, 98, 10, 8
MM, 98, 9, 24
MM, 99, 8, 16
MM, 100, 8, 8
MM, 102, 6, 24
MM, 104, 4, 8
MM, 106, 2, 16
MM, 509, 668, 16
MM, 23, 27, 24
MM, 25, 14, 33
MM, 25, 13, 9
MM, 25, 8, 22
MM, 25, 5, 16
MM, 25, 2, 16
MM, 512, 632, 16
MM, 8, 28, 33
MM, 6, 28, 24
MM, 6, 27, 15
MM, 4, 26, 25
MM, 3, 26, 16
MM, 2, 26, 8
MM, 0, 26, 16
MM, 496, 624, 16
MM, 28, 29, 25
MM, 488, 628, 25
MM, 485, 630, 31
MM, 481, 632, 15
MM, 26, 2, 16
MM, 22, 5, 25
MM, 20, 5, 9
MM, 18, 6, 22
MM, 17, 7, 95
MM, 16, 7, 9
MM, 15, 7, 7
MM, 14, 7, 88
MM, 13, 7, 9
MM, 7, 7, 15
MM, 3, 7, 8
MM, 446, 642, 17
MM, 444, 642, 15
MM, 443, 642, 88
MM, 32, 8, 9
MM, 30, 8, 23
MM, 29, 8, 16
MM, 28, 8, 10
MC, 1, 287
MM, 31, 8, 71
MM, 447, 638, 11
MM, 470, 632, 22
MM, 10, 24, 31
MM, 27, 20, 26
MM, 32, 17, 23
MM, 33, 17, 7
MM, 33, 16, 18
MM, 34, 16, 182
MM, 534, 612, 8
MM, 535, 611, 8
MM, 537, 611, 32
MM, 538, 610, 25
MM, 2, 12, 24
MM, 5, 10, 15
MM, 7, 10, 17
MM, 5, 8, 162
MM, 3, 8, 32
MM, 1, 7, 14
MM, 537, 603, 15
MM, 25, 5, 25
MM, 5, 1, 25
MM, 491, 596, 14
MM, 481, 594, 24
MM, 18, 29, 24
MM, 13, 25, 16
MM, 10, 23, 26
MM, 5, 21, 15
MM, 2, 21, 15
MM, 1, 21, 24
MM, 0, 21, 8
MM, 455, 581, 16
MM, 33, 21, 25
MM, 15, 21, 32
MM, 12, 21, 8
MM, 9, 22, 23
MM, 7, 22, 8
MM, 2, 23, 25
MC, 1, 167
MM, 1, 23, 104
MM, 0, 23, 8
MM, 414, 583, 24
MM, 409, 583, 26
MM, 34, 23, 17
MM, 32, 22, 22
MC, 1, 200
MM, 33, 22, 88
MM, 1, 23, 8
MM, 31, 24, 34
MM, 24, 24, 21
MM, 25, 27, 42
MM, 29, 27, 40
MM, 32, 27, 158
MM, 605, 586, 8
MM, 1, 25, 25
MM, 1, 24, 26
MC, 1, 149
MM, 0, 24, 42
MM, 609, 585, 15
MM, 601, 591, 33
MM, 12, 1, 15
MM, 33, 22, 25
MM, 21, 3, 31
MM, 13, 10, 50
MC, 1, 222
MM, 7, 8, 35
MM, 1, 3, 31
MM, 26, 30, 24
MM, 18, 16, 48
MM, 17, 13, 22
MC, 1, 154
MM, 17, 14, 56
MM, 17, 19, 17
MM, 519, 628, 13
MM, 526, 661, 32
MM, 129, 8, 16
MM, 129, 14, 25
MM, 128, 14, 102
MM, 128, 13, 96
MC, 1, 96
MM, 127, 10, 34
MM, 127, 8, 31
MM, 130, 7, 7
MM, 138, 0, 24
MM, 545, 665, 16
MM, 30, 19, 27
MM, 25, 3, 32
MM, 625, 628, 55
MM, 626, 628, 62
MM, 10, 30, 16
