********************************************************************************
LOGGING TIME: 20170909_200903
CLIENT IP: 10.145.230.188
USERNAME: sandeep2103
OS: Windows 10
**********************************Emotional database********************************************************************************
MM, 309, 26, 1503238554699
MM, 511, 259, 253
MM, 511, 249, 254
MM, 523, 160, 62
MM, 528, 148, 12
MM, 531, 143, 12
MM, 533, 140, 13
MM, 535, 140, 13
MM, 535, 139, 11
MM, 536, 139, 21
MM, 536, 133, 177
MM, 536, 127, 13
MM, 534, 120, 12
MM, 531, 114, 13
MM, 529, 119, 407
MM, 528, 132, 12
MM, 525, 147, 12
MM, 516, 247, 148
MM, 514, 258, 12
MM, 512, 268, 12
MM, 512, 276, 13
MM, 512, 283, 12
MM, 260, 2, 13
MM, 259, 7, 12
MM, 259, 11, 12
MM, 258, 13, 13
MM, 258, 15, 12
MM, 258, 16, 12
MM, 258, 17, 38
MC, 1, 123
MM, 258, 20, 23797
MM, 256, 26, 13
MM, 253, 39, 12
MM, 251, 51, 12
MM, 248, 67, 12
MM, 495, 387, 13
MM, 243, 3, 12
MM, 243, 22, 13
MM, 243, 55, 11
MM, 246, 77, 13
MM, 501, 506, 12
MM, 508, 516, 14
MM, 25, 6, 36
MM, 29, 9, 12
MM, 33, 11, 13
MM, 1, 18, 24
MM, 34, 29, 40
MM, 25, 4, 25
MM, 13, 18, 36
MM, 30, 23, 52
MM, 643, 583, 20
MM, 647, 586, 25
MM, 647, 587, 24
MM, 0, 28, 13
MM, 2, 29, 62
MM, 3, 29, 24
MM, 4, 30, 13
MM, 3, 28, 148
MM, 647, 586, 12
MM, 27, 21, 13
MM, 18, 15, 26
MM, 17, 15, 12
MM, 16, 14, 13
MM, 15, 14, 125
MC, 1, 120
MM, 15, 15, 135
MM, 15, 16, 13
MM, 14, 18, 25
MM, 14, 19, 15
MM, 611, 592, 34
MM, 13, 4, 29
MM, 1, 9, 20
MM, 32, 10, 25
MM, 26, 11, 26
MM, 25, 11, 24
MM, 24, 11, 36
MM, 22, 13, 37
MM, 19, 16, 13
MM, 17, 18, 12
MM, 17, 20, 15
MM, 16, 22, 10
MM, 14, 24, 24
MM, 14, 25, 27
MM, 14, 27, 10
MM, 13, 30, 13
MM, 553, 630, 12
MM, 553, 633, 12
MM, 22, 4, 26
MM, 21, 6, 11
MM, 20, 7, 25
MC, 1, 235
MM, 17, 7, 222
MM, 11, 8, 12
MM, 3, 8, 15
MM, 525, 642, 10
MM, 32, 8, 12
MM, 17, 7, 26
MM, 6, 3, 12
MM, 0, 28, 37
MM, 29, 14, 52
MM, 15, 6, 35
MM, 11, 4, 29
MM, 11, 3, 7
MM, 11, 4, 271
MM, 11, 6, 12
MM, 12, 9, 13
MM, 12, 12, 13
MM, 34, 22, 73
MM, 419, 621, 12
MM, 6, 27, 27
MM, 11, 29, 27
MM, 12, 30, 21
MM, 435, 628, 14
MM, 438, 631, 25
MM, 30, 0, 357
MM, 30, 5, 11
MM, 32, 18, 25
MM, 32, 23, 16
MM, 33, 28, 21
MM, 33, 30, 12
MM, 442, 665, 12
MM, 443, 669, 185
MM, 43, 0, 13
MM, 43, 1, 12
MM, 43, 2, 124
MM, 43, 3, 25
MM, 43, 4, 12
MM, 44, 7, 25
MM, 44, 8, 12
MM, 44, 10, 13
MM, 44, 11, 11
MM, 44, 13, 17
MM, 44, 14, 33
MC, 1, 123
MM, 40, 10, 124
MM, 432, 669, 12
MM, 9, 15, 26
MM, 5, 10, 24
MM, 4, 9, 12
MM, 3, 8, 25
MM, 3, 7, 24
MM, 3, 6, 38
MM, 3, 4, 12
MM, 3, 0, 28
MM, 412, 632, 9
MM, 412, 631, 25
MM, 412, 630, 99
MM, 412, 629, 62
MM, 31, 29, 11
MM, 30, 28, 17
MM, 30, 26, 9
MM, 30, 25, 12
MM, 29, 25, 24
MC, 1, 136
MM, 13, 11, 163
MM, 620, 592, 51
MM, 704, 600, 47
MM, 709, 601, 10
MM, 712, 602, 15
MM, 714, 602, 10
MM, 717, 602, 13
MM, 719, 602, 11
MM, 723, 602, 13
MM, 727, 602, 12
MM, 733, 602, 25
MM, 735, 602, 12
MM, 738, 602, 13
MM, 742, 600, 12
MM, 743, 598, 12
MM, 746, 596, 12
MM, 748, 590, 25
MM, 748, 584, 13
MM, 748, 577, 12
MM, 748, 572, 13
MM, 746, 566, 11
MM, 733, 558, 26
MM, 727, 555, 12
MM, 725, 554, 14
MM, 21, 30, 10
MM, 20, 30, 13
MM, 18, 30, 37
MM, 719, 554, 61
MM, 718, 554, 12
MM, 717, 558, 28
MM, 27, 1, 10
MM, 27, 2, 12
MM, 27, 3, 26
MM, 26, 3, 12
MC, 1, 160
MM, 26, 4, 49
MM, 25, 4, 13
MM, 24, 6, 12
MM, 17, 8, 12
MM, 7, 12, 12
MM, 29, 18, 25
MM, 493, 593, 39
MM, 0, 8, 23
MM, 15, 14, 25
MM, 7, 15, 49
MM, 2, 15, 136
MM, 376, 612, 12
MM, 22, 15, 49
MC, 1, 222
MM, 23, 15, 63
MM, 25, 17, 13
MM, 29, 23, 10
MM, 17, 12, 62
MM, 28, 18, 42
MM, 32, 20, 9
MM, 408, 657, 23
MM, 2, 24, 25
MM, 4, 24, 26
MM, 5, 24, 36
MM, 7, 24, 148
MM, 8, 24, 12
MM, 10, 23, 13
MM, 11, 23, 12
MM, 12, 23, 37
MM, 12, 21, 210
MM, 12, 18, 12
MM, 12, 12, 12
MM, 421, 633, 25
MM, 2, 21, 27
MM, 19, 26, 35
MM, 25, 15, 38
MM, 25, 14, 26
MM, 26, 14, 11
MC, 1, 197
MM, 26, 15, 49
MM, 26, 20, 25
MM, 27, 26, 14
MM, 443, 595, 10
MM, 27, 19, 25
MM, 6, 15, 38
MM, 459, 669, 37
MM, 64, 23, 24
MM, 470, 713, 38
MM, 472, 716, 24
MM, 472, 717, 13
MM, 473, 720, 48
MM, 474, 721, 25
MM, 475, 721, 24
MM, 477, 714, 260
MM, 83, 29, 11
MM, 96, 10, 14
MM, 524, 633, 25
MM, 6, 11, 25
MM, 34, 2, 25
MM, 8, 1, 24
MM, 16, 1, 28
MM, 19, 25, 57
MM, 645, 628, 49
MM, 644, 628, 161
MM, 643, 629, 13
MM, 639, 632, 27
MM, 637, 633, 10
MM, 20, 1, 11
MM, 17, 4, 26
MM, 15, 8, 25
MM, 14, 8, 24
MC, 1, 174
MM, 11, 16, 36
MM, 37, 25, 38
MM, 104, 4, 50
MM, 77, 8, 57
MC, 1, 237
MM, 71, 8, 111
MM, 63, 8, 13
MM, 53, 4, 12
MM, 15, 28, 24
MM, 406, 645, 28
MM, 30, 4, 23
MM, 29, 1, 37
MM, 29, 0, 12
MM, 398, 631, 25
MM, 16, 30, 26
MM, 15, 27, 26
MM, 12, 24, 21
MM, 11, 22, 13
MM, 9, 20, 12
MM, 3, 15, 25
MM, 2, 14, 12
MM, 0, 14, 13
MM, 379, 611, 13
MM, 378, 611, 39
MM, 377, 611, 10
MM, 374, 611, 24
MM, 34, 14, 12
MM, 32, 15, 24
MM, 31, 15, 14
MM, 30, 15, 24
MC, 1, 149
MM, 31, 15, 98
MM, 374, 612, 25
MM, 0, 15, 25
MM, 4, 15, 39
MM, 7, 15, 24
MM, 9, 16, 23
MM, 11, 16, 24
MM, 12, 16, 13
MC, 1, 111
MM, 13, 16, 50
MM, 14, 16, 49
MM, 18, 16, 13
MM, 26, 13, 12
MM, 418, 602, 12
MM, 447, 591, 26
MM, 454, 588, 10
MM, 6, 25, 25
MM, 9, 23, 25
MM, 11, 22, 25
MM, 12, 22, 12
MM, 489, 577, 27
MM, 10, 15, 22
MM, 13, 15, 27
MM, 13, 14, 171
MC, 1, 135
MM, 11, 14, 88
MM, 5, 14, 12
MM, 27, 14, 26
MM, 10, 14, 36
MM, 9, 14, 11
MM, 13, 14, 240
MM, 23, 15, 20
MM, 526, 588, 25
MM, 25, 1, 11
MM, 2, 6, 39
MM, 7, 2, 37
MM, 679, 595, 61
MM, 680, 594, 24
MM, 681, 593, 26
MM, 681, 592, 11
MM, 681, 591, 25
MM, 33, 30, 24
MM, 32, 26, 50
MM, 30, 24, 12
MM, 30, 23, 13
MM, 29, 21, 12
MM, 28, 21, 12
MM, 27, 21, 26
MC, 1, 123
MM, 26, 21, 49
MM, 25, 22, 13
MM, 18, 24, 24
MM, 658, 591, 24
MM, 25, 16, 25
MM, 4, 3, 39
MM, 612, 643, 22
MM, 38, 14, 53
MM, 37, 14, 71
MM, 567, 646, 25
MM, 22, 11, 37
MM, 20, 11, 26
MM, 17, 11, 35
MM, 15, 11, 13
MM, 14, 11, 12
MM, 13, 11, 13
MC, 1, 222
MM, 11, 11, 74
MM, 6, 13, 13
MM, 528, 649, 11
MM, 7, 19, 25
MM, 19, 16, 27
MM, 11, 5, 50
MM, 3, 3, 36
MM, 3, 2, 23
MM, 2, 2, 124
MM, 0, 1, 49
MM, 407, 634, 12
MM, 396, 632, 25
MM, 390, 631, 12
MM, 384, 629, 13
MM, 378, 626, 25
MM, 376, 624, 12
MM, 376, 623, 12
MM, 374, 621, 25
MM, 34, 22, 24
MM, 34, 21, 13
MM, 33, 21, 25
MM, 33, 20, 49
MM, 32, 20, 12
MM, 32, 19, 37
MC, 1, 198
MM, 32, 18, 173
MM, 33, 17, 24
MM, 374, 613, 12
MM, 2, 15, 26
MM, 13, 14, 28
MM, 20, 14, 21
MM, 23, 14, 14
MM, 26, 14, 11
MM, 32, 14, 24
MM, 418, 611, 13
MM, 7, 14, 25
MM, 15, 13, 26
MM, 459, 608, 23
MM, 19, 7, 27
MM, 27, 6, 35
MM, 28, 6, 24
MM, 29, 5, 49
MM, 30, 4, 27
MM, 494, 599, 11
MM, 501, 594, 25
MM, 21, 23, 24
MM, 528, 575, 25
MM, 569, 565, 36
MM, 11, 4, 27
MM, 13, 3, 23
MM, 14, 3, 124
MM, 14, 2, 23
MM, 15, 2, 25
MM, 16, 1, 13
MM, 16, 2, 124
MC, 1, 87
MM, 15, 2, 61
MM, 5, 4, 24
MM, 29, 10, 27
MM, 12, 14, 51
MM, 7, 14, 46
MM, 4, 14, 12
MM, 1, 14, 13
MM, 530, 574, 12
MM, 525, 575, 38
MM, 29, 15, 14
MM, 27, 16, 24
MM, 24, 16, 25
MM, 23, 16, 9
MM, 23, 17, 13
MM, 22, 17, 12
MM, 21, 17, 25
MC, 1, 148
MM, 19, 19, 62
MM, 15, 22, 13
MM, 5, 26, 24
MM, 492, 590, 13
MM, 469, 595, 27
MM, 458, 596, 9
MM, 28, 0, 24
MM, 26, 0, 25
MM, 25, 0, 13
MM, 24, 0, 62
MM, 23, 0, 15
MM, 20, 0, 9
MM, 13, 1, 28
MM, 9, 1, 9
MM, 5, 2, 12
MM, 1, 3, 26
MM, 0, 3, 13
MM, 420, 601, 11
MM, 417, 604, 25
MM, 415, 607, 12
MM, 32, 16, 25
MM, 30, 17, 11
MM, 29, 17, 63
MM, 28, 17, 37
MM, 28, 17, 369
MM, 30, 21, 13
MM, 32, 24, 13
MM, 415, 625, 12
MM, 12, 6, 24
MM, 24, 25, 27
MM, 51, 2, 23
MM, 62, 11, 50
MM, 63, 11, 36
MC, 1, 457
MM, 63, 9, 223
MM, 63, 0, 12
MM, 14, 29, 13
MM, 14, 17, 38
MM, 14, 16, 11
MM, 14, 15, 173
MC, 1, 147
MM, 17, 15, 432
MM, 24, 15, 14
MM, 484, 648, 11
MM, 528, 637, 25
MM, 19, 23, 15
MM, 30, 4, 38
MM, 766, 537, 47
MM, 766, 540, 430
MM, 32, 25, 12
MM, 536, 595, 54
MM, 7, 13, 35
MM, 4, 16, 24
MM, 496, 618, 25
MM, 487, 628, 24
MM, 483, 632, 11
MM, 28, 11, 25
MM, 26, 15, 25
MM, 26, 16, 13
MM, 22, 21, 86
MM, 16, 24, 12
MM, 457, 665, 24
MM, 446, 667, 39
MM, 445, 667, 11
MM, 444, 667, 12
MP, 1, 186
MR, 1, 49
MC, 1, 0
MM, 440, 665, 111
MM, 26, 26, 25
MM, 23, 20, 25
MM, 22, 18, 24
MM, 22, 17, 14
MC, 1, 122
MM, 21, 17, 99
MM, 7, 14, 24
MM, 0, 10, 12
MM, 26, 2, 26
MM, 391, 633, 40
MM, 390, 631, 24
MM, 388, 631, 22
MM, 387, 630, 37
MM, 385, 628, 12
MM, 3, 30, 12
MM, 379, 627, 27
MM, 374, 625, 23
MM, 33, 28, 37
MM, 33, 27, 13
MM, 33, 26, 37
MM, 32, 25, 12
MM, 32, 24, 14
MM, 31, 24, 14
MM, 31, 23, 33
MM, 0, 17, 249
MM, 1, 12, 36
MM, 30, 12, 26
MM, 22, 15, 23
MM, 535, 618, 40
MM, 15, 26, 38
MM, 23, 26, 34
MM, 26, 26, 12
MM, 27, 26, 24
MM, 27, 27, 74
MM, 27, 28, 49
MM, 27, 29, 13
MM, 27, 30, 24
MM, 567, 629, 13
MM, 567, 631, 12
MM, 566, 635, 25
MM, 565, 637, 12
MM, 34, 4, 26
MM, 33, 4, 48
MM, 32, 4, 37
MM, 32, 5, 25
MC, 1, 174
MC, 2, 393
MM, 33, 5, 149
MM, 565, 639, 11
MM, 578, 628, 27
MM, 623, 594, 23
MM, 644, 584, 12
MM, 11, 17, 14
MM, 9, 6, 38
MM, 23, 3, 49
MM, 22, 3, 90
MM, 21, 3, 57
MM, 20, 3, 12
MM, 18, 4, 13
MM, 16, 4, 12
MM, 9, 8, 25
MM, 2, 10, 12
MM, 30, 13, 12
MM, 12, 14, 39
MM, 10, 15, 10
MC, 1, 260
MM, 9, 15, 51
MM, 6, 16, 22
MM, 647, 578, 17
MM, 15, 23, 22
MM, 23, 30, 37
MM, 580, 591, 38
MM, 579, 591, 12
MM, 578, 591, 73
MM, 577, 591, 24
MM, 574, 591, 14
MM, 1, 29, 10
MM, 22, 24, 28
MM, 1, 18, 47
MM, 0, 18, 25
MM, 530, 578, 11
MM, 529, 578, 26
MM, 528, 578, 13
MM, 527, 578, 26
MM, 526, 578, 10
MM, 30, 18, 25
