**********************************
LOGGING TIME: 20171030_171840
CLIENT IP: 10.145.130.117
USERNAME: hp pc
OS: Windows 10
*********************Neutral database**********************************
MM, 26, 10, 1507533547294
MM, 252, 36, 40
MM, 223, 5, 10
MM, 123, 13, 412
MM, 72, 12, 20
MM, 36, 0, 412
MM, 37, 1, 10
MM, 37, 2, 20
MM, 38, 2, 30
MM, 38, 3, 21
MM, 39, 3, 11891
MM, 40, 3, 20
MM, 40, 4, 10
MM, 41, 4, 11
MM, 44, 6, 19
MM, 45, 7, 10
MM, 46, 7, 10
MM, 50, 9, 20
MM, 52, 10, 10
MM, 54, 12, 10
MM, 56, 12, 10
MM, 59, 14, 11
MM, 64, 17, 20
MM, 66, 18, 10
MM, 69, 20, 10
MM, 71, 21, 10
MM, 79, 27, 50
MM, 99, 1, 111
MM, 102, 4, 9
MM, 104, 10, 20
MM, 106, 13, 10
MM, 107, 15, 11
MM, 108, 17, 10
MM, 110, 20, 10
MM, 111, 23, 10
MM, 113, 25, 11
MC, 1, 8289
MM, 94, 2, 40753
MM, 92, 9, 20
MM, 92, 15, 20
MM, 92, 26, 21
MM, 92, 47, 29
MM, 92, 54, 21
MM, 92, 57, 9
MM, 92, 58, 11
MM, 92, 59, 20
MM, 92, 60, 20
MM, 92, 59, 151
MM, 92, 57, 10
MM, 92, 54, 10
MM, 93, 50, 10
MM, 93, 46, 10
MM, 94, 39, 20
MM, 94, 36, 10
MM, 94, 32, 21
MM, 95, 32, 9
MM, 95, 31, 10
MM, 95, 30, 31
MC, 1, 451
MM, 96, 30, 303
MM, 101, 31, 20
MM, 109, 35, 20
MM, 120, 41, 21
MM, 128, 48, 20
MM, 133, 53, 19
MM, 137, 58, 21
MM, 140, 62, 10
MM, 43, 24, 201
MM, 39, 24, 21
MM, 37, 24, 20
MM, 35, 24, 31
MM, 34, 24, 29
MM, 32, 24, 21
MM, 29, 21, 19
MM, 27, 20, 10
MM, 26, 19, 20
MM, 25, 18, 51
MC, 1, 400
MC, 2, 191
MM, 26, 18, 232
MM, 16, 12, 61
MM, 27, 18, 10
MM, 2, 3, 40
MM, 17, 11, 20
MM, 29, 20, 20
MM, 21, 1, 70
MM, 31, 5, 20
MM, 40, 6, 20
MM, 0, 7, 91
