**********************************
LOGGING TIME: 20171031_224008
CLIENT IP: 10.145.130.117
USERNAME: hp pc
OS: Windows 10
*********************Neutral database**********************************
MC, 1, 1507533537187
MM, 72, 6, 53755
MM, 73, 19, 15
MM, 73, 24, 16
MM, 73, 25, 7
MM, 73, 28, 32
MM, 73, 31, 9
MM, 70, 41, 17
MM, 68, 49, 16
MM, 67, 54, 16
MM, 66, 57, 16
MM, 66, 58, 7
MM, 65, 58, 97
MM, 65, 57, 15
MM, 64, 56, 16
MM, 64, 55, 41
MM, 64, 54, 15
MM, 64, 53, 8
MM, 63, 53, 24
MM, 63, 52, 17
MC, 1, 192
MM, 62, 52, 176
MM, 60, 53, 7
MM, 49, 62, 16
MM, 41, 5, 16
MM, 34, 18, 16
MM, 31, 24, 9
MM, 29, 30, 16
MM, 28, 30, 7
MM, 28, 31, 24
MM, 10, 31, 351
MM, 14, 30, 17
MM, 14, 29, 7
MM, 14, 28, 48
MM, 14, 27, 81
MM, 14, 26, 9
MM, 15, 25, 15
MM, 15, 24, 33
MM, 16, 24, 112
MC, 1, 71
MM, 17, 24, 64
MM, 19, 24, 9
MM, 35, 22, 15
MM, 1, 20, 8
MC, 1, 944
MM, 15, 4, 112
MM, 11, 16, 16
MM, 9, 23, 9
MM, 25, 2, 23
MM, 21, 13, 16
MM, 20, 18, 16
MM, 18, 28, 25
MM, 22, 1, 86
MM, 22, 6, 17
MM, 23, 7, 25
MM, 23, 8, 24
MM, 24, 9, 134
MM, 24, 10, 9
MM, 24, 11, 40
MC, 1, 129
MM, 23, 11, 87
MM, 19, 11, 16
MM, 17, 12, 9
MM, 4, 17, 15
MM, 37, 24, 17
MM, 40, 27, 127
MM, 27, 17, 16
MM, 42, 28, 23
MM, 23, 15, 16
MM, 13, 9, 17
MM, 12, 9, 31
MM, 11, 9, 25
MM, 11, 8, 17
MM, 10, 8, 31
MM, 9, 7, 105
MM, 8, 7, 7
MM, 6, 5, 17
MM, 5, 4, 16
MM, 2, 1, 15
MM, 1, 1, 8
MC, 1, 768
MM, 40, 0, 217
MM, 43, 2, 17
MM, 44, 3, 6
MM, 45, 3, 80
MM, 3, 8, 24
MM, 10, 11, 16
MM, 17, 15, 17
MM, 21, 17, 16
MC, 1, 192
MM, 20, 17, 7
MM, 19, 17, 16
MM, 17, 15, 25
MM, 16, 15, 7
MM, 13, 14, 16
MM, 8, 12, 16
MM, 2, 9, 16
MM, 43, 7, 25
MM, 36, 5, 15
MM, 14, 2, 16
MC, 1, 609
MM, 21, 8, 199
MM, 78, 0, 40
MM, 78, 1, 65
MM, 78, 2, 31
MM, 80, 4, 16
MM, 80, 6, 24
MM, 81, 6, 8
MM, 81, 7, 88
MM, 82, 9, 15
MM, 82, 11, 10
MM, 83, 12, 16
MC, 1, 175
MM, 83, 11, 55
MM, 83, 9, 16
MM, 83, 5, 17
MM, 0, 1, 48
MM, 2, 30, 16
MM, 5, 20, 24
MM, 7, 12, 17
MM, 9, 10, 7
MM, 10, 5, 16
MM, 12, 1, 16
MC, 1, 393
MM, 6, 22, 240
MM, 34, 22, 15
MM, 9, 24, 33
MM, 6, 23, 176
MM, 5, 22, 16
MM, 3, 21, 16
MM, 2, 20, 16
MM, 1, 20, 7
MM, 43, 18, 80
MM, 42, 17, 16
MM, 41, 17, 16
MM, 40, 17, 8
MM, 39, 17, 136
MM, 38, 17, 32
MM, 37, 18, 24
MM, 36, 18, 8
MM, 35, 18, 16
MM, 34, 18, 16
MM, 33, 19, 16
MM, 31, 20, 17
MM, 30, 21, 15
MM, 30, 22, 9
MM, 3, 4, 160
MM, 29, 7, 759
MM, 20, 7, 25
MM, 23, 7, 23
MM, 41, 7, 24
MM, 13, 7, 33
MM, 11, 7, 23
MM, 10, 7, 8
MM, 7, 7, 40
MM, 43, 7, 32
MM, 41, 7, 16
MM, 37, 7, 25
MM, 34, 8, 8
MM, 33, 8, 41
MM, 32, 8, 22
MM, 32, 9, 57
MM, 28, 10, 15
MM, 16, 15, 24
MC, 1, 217
MM, 17, 15, 48
MM, 18, 15, 32
MM, 20, 14, 16
MM, 24, 14, 23
MM, 28, 14, 17
MM, 40, 14, 24
MM, 13, 12, 23
MM, 38, 11, 25
MM, 5, 10, 23
MM, 1, 15, 120
MM, 3, 15, 16
MM, 4, 15, 7
MM, 5, 16, 25
MM, 6, 16, 23
MM, 8, 16, 25
MM, 15, 16, 15
MM, 2, 16, 33
MM, 13, 16, 15
MM, 11, 15, 409
